test,num_states
one-plus-o217,637
one-plus-o222,599
one-plus-o224,598
one-plus-o225,598
random--la19,428
random--la1018,351
random--la1021,487
random--la26,686
random--la223,414
random--la231,568
random--la237,629
random--la314,471
random--la318,375
random--la42,667
random--la413,488
random--la430,678
random--la431,620
random--la514,718
random--la526,497
random--la532,679
random--la614,685
random--la625,633
random--la631,522
random--la635,541
random--la641,553
random--la642,666
random--la653,639
random--la655,641
random--la658,642
random--la94,480
