test,num_states
random--la17,601
random--la111,88
random--la117,115
random--la108,520
random--la109,219
random--la1018,652
random--la23,660
random--la24,467
random--la214,757
random--la311,699
random--la44,511
random--la413,31
random--la57,776
random--la62,224
random--la625,711
random--la79,348
random--la716,356
random--la718,575
random--la719,41
random--la82,122
random--la811,64
random--la813,499
random--la814,195
random--la818,592
random--la92,887
random--la93,475
random--la96,391
random--la912,797
random--la916,724
random--la918,613
