test,num_states
random--la11,379
random--la111,88
random--la109,219
random--la215,310
random--la219,471
random--la31,95
random--la310,941
random--la311,699
random--la322,344
random--la46,129
random--la412,648
random--la415,275
random--la53,499
random--la510,412
random--la610,85
random--la616,736
random--la617,235
random--la625,711
random--la75,604
random--la711,640
random--la713,508
random--la84,871
random--la811,64
random--la816,748
random--la819,632
random--la820,704
random--la821,656
random--la822,872
random--la93,475
random--la912,797
