test,num_states
random--la14,83
random--la17,601
random--la117,115
random--la1018,652
random--la28,67
random--la210,628
random--la213,548
random--la214,757
random--la216,24
random--la220,303
random--la323,792
random--la42,267
random--la414,131
random--la56,684
random--la57,776
random--la61,72
random--la66,130
random--la619,228
random--la622,619
random--la623,603
random--la627,455
random--la72,500
random--la79,348
random--la711,640
random--la811,64
random--la813,499
random--la821,656
random--la917,703
random--la921,740
random--la922,488
